concept_id,concept_name,domain_id,vocabulary_id,concept_class_id,standard_concept,concept_code,valid_start_date,valid_end_date,invalid_reason
2100000103,Diastolic Blood Pressure,Measurement,VH_VOCAB,Vital Sign,S,VH_MEAS_DIASTOLIC_BP,2000-01-01,2099-12-31,
2100000104,Temperature,Measurement,VH_VOCAB,Vital Sign,S,VH_MEAS_TEMPERATURE,2000-01-01,2099-12-31,
2100000105,Respiratory Rate,Measurement,VH_VOCAB,Vital Sign,S,VH_MEAS_RESP_RATE,2000-01-01,2099-12-31,
2100000106,Body Weight,Measurement,VH_VOCAB,Vital Sign,S,VH_MEAS_WEIGHT,2000-01-01,2099-12-31,
2100000200,Pain NRS 0-10,Observation,VH_VOCAB,Patient-Reported,S,VH_PROM_PAIN_NRS_0_10,2000-01-01,2099-12-31,
2100000201,Dyspnea 0-4,Observation,VH_VOCAB,Patient-Reported,S,VH_PROM_DYSPNEA_0_4,2000-01-01,2099-12-31,
2100000202,Cough Severity 0-4,Observation,VH_VOCAB,Patient-Reported,S,VH_PROM_COUGH_0_4,2000-01-01,2099-12-31,
2100000203,New Chest Pain,Observation,VH_VOCAB,Patient-Reported,S,VH_PROM_CHEST_PAIN,2000-01-01,2099-12-31,
2100000204,Appetite Reduced,Observation,VH_VOCAB,Patient-Reported,S,VH_PROM_APPETITE_REDUCED,2000-01-01,2099-12-31,
2100000205,Dizziness,Observation,VH_VOCAB,Patient-Reported,S,VH_PROM_DIZZINESS,2000-01-01,2099-12-31,
2100000206,Sleep Quality 0-10,Observation,VH_VOCAB,Patient-Reported,S,VH_PROM_SLEEP_0_10,2000-01-01,2099-12-31,
2100000207,Fatigue 0-10,Observation,VH_VOCAB,Patient-Reported,S,VH_PROM_FATIGUE_0_10,2000-01-01,2099-12-31,
2100000208,Oedema,Observation,VH_VOCAB,Patient-Reported,S,VH_PROM_OEDEMA,2000-01-01,2099-12-31,
2100000300,Chronic Obstructive Pulmonary Disease,Condition,VH_VOCAB,Clinical Condition,S,VH_COND_COPD,2000-01-01,2099-12-31,
2100000301,Heart Failure,Condition,VH_VOCAB,Clinical Condition,S,VH_COND_HEART_FAILURE,2000-01-01,2099-12-31,
2100000302,Post-operative Recovery,Condition,VH_VOCAB,Clinical Condition,S,VH_COND_POST_OP,2000-01-01,2099-12-31,
2100000400,Start Oral Antibiotic,Drug,VH_VOCAB,Intervention,S,VH_DRUG_START_ANTIBIOTIC,2000-01-01,2099-12-31,
2100000401,Increase Loop Diuretic Dose,Drug,VH_VOCAB,Intervention,S,VH_DRUG_INCREASE_LOOP_DIURETIC,2000-01-01,2099-12-31,
2100000402,Start Systemic Steroid Course,Drug,VH_VOCAB,Intervention,S,VH_DRUG_START_STEROID,2000-01-01,2099-12-31,
2100000500,Start Oxygen Therapy,Procedure,VH_VOCAB,Intervention,S,VH_PROC_START_OXYGEN,2000-01-01,2099-12-31,
2100000501,Urgent Clinician Review,Procedure,VH_VOCAB,Care Process,S,VH_PROC_URGENT_REVIEW,2000-01-01,2099-12-31,
2100000502,Conveyance to Emergency Department,Procedure,VH_VOCAB,Disposition,S,VH_PROC_CONVEYANCE_ED,2000-01-01,2099-12-31,
2100000503,Unplanned Acute Admission,Procedure,VH_VOCAB,Disposition,S,VH_PROC_ACUTE_ADMISSION,2000-01-01,2099-12-31,
2100000504,Home Phlebotomy Visit,Procedure,VH_VOCAB,Care Process,S,VH_PROC_HOME_PHLEBOTOMY,2000-01-01,2099-12-31,
2100000600,Pulse Oximeter,Device,VH_VOCAB,Home Monitoring,S,VH_DEVICE_PULSE_OXIMETER,2000-01-01,2099-12-31,
2100000601,Blood Pressure Cuff,Device,VH_VOCAB,Home Monitoring,S,VH_DEVICE_BP_CUFF,2000-01-01,2099-12-31,
2100000602,Digital Thermometer,Device,VH_VOCAB,Home Monitoring,S,VH_DEVICE_THERMOMETER,2000-01-01,2099-12-31,
2100000603,Body Weight Scale,Device,VH_VOCAB,Home Monitoring,S,VH_DEVICE_WEIGHT_SCALE,2000-01-01,2099-12-31,
2100000700,Mobile App,Type Concept,VH_VOCAB,Collection Method,S,VH_COLLECTION_MOBILE_APP,2000-01-01,2099-12-31,
2100000701,Web Form,Type Concept,VH_VOCAB,Collection Method,S,VH_COLLECTION_WEB_FORM,2000-01-01,2099-12-31,
2100000702,Interactive Voice Response,Type Concept,VH_VOCAB,Collection Method,S,VH_COLLECTION_IVR,2000-01-01,2099-12-31,
2100000800,Self-Reported,Type Concept,VH_VOCAB,Respondent,S,VH_RESPONDENT_SELF,2000-01-01,2099-12-31,
2100000801,Caregiver-Reported,Type Concept,VH_VOCAB,Respondent,S,VH_RESPONDENT_CAREGIVER,2000-01-01,2099-12-31,
2100000900,Death Record,Type Concept,VH_VOCAB,Death Type,S,VH_DEATH_RECORD,2000-01-01,2099-12-31,
8507,MALE,Gender,Gender,Gender,S,M,1970-01-01,2099-12-31,
8532,FEMALE,Gender,Gender,Gender,S,F,1970-01-01,2099-12-31,
2100001010,White,Race,VH_VOCAB,Race,S,VH_RACE_WHITE,2000-01-01,2099-12-31,
2100001011,Black or African American,Race,VH_VOCAB,Race,S,VH_RACE_BLACK,2000-01-01,2099-12-31,
2100001012,Asian,Race,VH_VOCAB,Race,S,VH_RACE_ASIAN,2000-01-01,2099-12-31,
2100001013,American Indian or Alaska Native,Race,VH_VOCAB,Race,S,VH_RACE_NATIVE_AMERICAN,2000-01-01,2099-12-31,
2100001014,Native Hawaiian or Other Pacific Islander,Race,VH_VOCAB,Race,S,VH_RACE_PACIFIC_ISLANDER,2000-01-01,2099-12-31,
2100001015,Other Race,Race,VH_VOCAB,Race,S,VH_RACE_OTHER,2000-01-01,2099-12-31,
2100001020,Hispanic or Latino,Ethnicity,VH_VOCAB,Ethnicity,S,VH_ETHNICITY_HISPANIC,2000-01-01,2099-12-31,
2100001021,Not Hispanic or Latino,Ethnicity,VH_VOCAB,Ethnicity,S,VH_ETHNICITY_NOT_HISPANIC,2000-01-01,2099-12-31,
1332774,Cough,Observation,PPI,Patient-Reported,S,cope_a_20,2020-05-07,2099-12-31,
4164116,Sputum,Observation,SNOMED,Patient-Reported,S,45710003,2002-01-31,2099-12-31,
436583,Fall,Observation,SNOMED,Patient-Reported,S,1912002,2002-01-31,2099-12-31,
44803024,Unplanned Admission,Observation,SNOMED,Clinical Finding,S,507241000000105,2009-10-01,2099-12-31,
4268883,Standing diastolic blood pressure,Measurement,SNOMED,Vital Sign,S,400975005,2003-07-31,2099-12-31,
4292062,Standing systolic blood pressure,Measurement,SNOMED,Vital Sign,S,400974009,2003-07-31,2099-12-31,
4248524,Sitting diastolic blood pressure,Measurement,SNOMED,Vital Sign,S,407555005,2004-01-31,2099-12-31,
4232915,Sitting systolic blood pressure,Measurement,SNOMED,Vital Sign,S,407554009,2004-01-31,2099-12-31,
37018726,Frailty Index score,Measurement,SNOMED,Clinical Finding,S,713636003,2016-01-31,2099-12-31,
4059015,Falls,Observation,SNOMED,Clinical Finding,S,161898004,2002-01-31,2099-12-31,
4041306,Tobacco use and exposure,Observation,SNOMED,Observable Entity,S,229819007,2002-01-31,2099-12-31,
3036277,Body height,Measurement,LOINC,Clinical Observation,S,8302-2,1970-01-01,2099-12-31,
3038553,Body mass index,Observation,LOINC,Clinical Observation,S,39156-5,1970-01-01,2099-12-31,
2100000610,Number of Long-Term Conditions,Observation,VH_VOCAB,Clinical Observation,S,VH_OBS_LTC_COUNT,2000-01-01,2099-12-31,
2100000612,Care Home Resident,Observation,VH_VOCAB,Social History,S,VH_OBS_CARE_HOME,2000-01-01,2099-12-31,
2100000613,House Bound,Observation,VH_VOCAB,Social History,S,VH_OBS_HOUSE_BOUND,2000-01-01,2099-12-31,
2100000614,Has Carer Support,Observation,VH_VOCAB,Social History,S,VH_OBS_HAS_CARER,2000-01-01,2099-12-31,
2100000615,Adult Social Care Support,Observation,VH_VOCAB,Social History,S,VH_OBS_ASC_SUPPORT,2000-01-01,2099-12-31,
32842,EHR referral record,Type Concept,Type Concept,Type Concept,S,OMOP4976915,2020-08-20,2099-12-31,
2100001100,Generic Antibiotic,Drug,VH_VOCAB,Ingredient,S,VH_ANTIBIOTIC,2000-01-01,2099-12-31,
2100001101,Generic Diuretic,Drug,VH_VOCAB,Ingredient,S,VH_DIURETIC,2000-01-01,2099-12-31,
2100001102,Generic Steroid,Drug,VH_VOCAB,Ingredient,S,VH_STEROID,2000-01-01,2099-12-31,
